matchId,date,leagueId,league,round,homeId,awayId,homeTeam,awayTeam,homeRank,awayRank,homeFormation,awayFormation,homeRating,awayRating,homeScore,awayScore,result,homePossession,awayPossession,homeXG,awayXG,homeXGOT,awayXGOT,homeShots,awayShots,homeShotsOT,awayShotsOT,homeShotsOff,awayShotsOff,homeInsideBox,awayInsideBox,homeOutsideBox,awayOutsideBox,homeBigChance,awayBigChance,homeBigMiss,awayBigMiss,homeTouchesBox,awayTouchesBox,homePasses,awayPasses,homePassAcc,awayPassAcc,homeCrossAcc,awayCrossAcc,homeLongBallAcc,awayLongBallAcc,homeCorners,awayCorners,homeTackles,awayTackles,homeInterceptions,awayInterceptions,homeBlocks,awayBlocks,homeClearances,awayClearances,homeKeeperSaves,awayKeeperSaves,homeYellow,awayYellow,homeRed,awayRed,homeFouls,awayFouls,homeOffside,awayOffside,homeFifaRank,awayFifaRank,cityMatch,countryMatch,neutral
3854558,2022-11-29T15:00:00.000Z,868712,World Cup Grp. A,3,6707,6395,Ecuador,Senegal,44,18,4-3-3,4-2-3-1,6.5,7.1,1,2,A,61,39,0.93,2.14,1.22,1.87,9,14,4,3,3,7,6,10,3,4,1,3,0,1,11,17,434,267,77,68,33,19,34,32,3,6,15,10,7,10,4,2,22,28,1,3,0,1,0,0,23,11,0,3,44,18,Al Rayyan,Qatar,TRUE
3854563,2022-11-29T19:00:00.000Z,868713,World Cup Grp. B,3,5790,8491,Wales,England,19,5,4-2-3-1,4-3-3,5.8,7.2,0,3,A,35,65,0.35,2.46,0.03,2.64,7,18,1,7,3,6,1,14,6,4,0,4,0,3,3,35,329,594,78,88,50,36,51,56,1,6,12,6,7,5,5,3,17,7,4,1,2,0,0,0,16,9,1,1,19,5,Al Rayyan,Qatar,TRUE
3854564,2022-11-29T19:00:00.000Z,868713,World Cup Grp. B,3,6711,6713,Iran,United States,20,16,4-4-1-1,4-3-3,6.5,7.1,0,1,A,49,51,0.42,1.18,0.00,1.77,4,12,1,5,3,4,3,8,1,4,1,2,1,1,13,24,466,474,77,84,19,5,48,64,1,5,22,12,12,5,3,1,16,20,4,0,3,1,0,0,14,10,2,1,20,16,Doha,Qatar,TRUE
3854584,2022-11-30T15:00:00.000Z,868715,World Cup Grp. D,3,6716,8238,Australia,Denmark,38,10,4-4-1-1,4-2-3-1,7.3,6.5,1,0,H,31,69,0.59,0.65,1.28,0.43,8,13,4,3,2,5,4,11,4,2,0,0,0,0,11,33,304,664,64,83,18,15,42,56,2,6,15,11,12,7,5,1,32,20,3,3,2,1,0,0,11,10,1,3,38,10,Al Wakrah,Qatar,TRUE
3854583,2022-11-30T15:00:00.000Z,868715,World Cup Grp. D,3,6719,6723,Tunisia,France,30,4,3-4-2-1,4-3-1-2,6.9,6.7,1,0,H,34,66,0.46,0.76,,,5,10,3,3,2,3,3,5,2,5,0,0,0,0,18,22,312,621,78,86,9,32,38,44,7,8,22,37,9,13,4,0,22,19,3,2,1,0,0,0,14,6,3,2,30,4,Al Rayyan,Qatar,TRUE
3854576,2022-11-30T19:00:00.000Z,868714,World Cup Grp. C,3,8568,6706,Poland,Argentina,26,3,4-4-2,4-3-1-2,6.3,7.3,0,2,A,27,73,0.32,3.69,0.00,3.19,4,23,0,12,2,7,2,20,2,3,0,6,0,6,3,46,317,868,77,92,40,22,48,69,1,9,17,13,7,5,4,2,28,8,9,0,1,1,0,0,6,11,0,1,26,3,Doha,Qatar,TRUE
3854577,2022-11-30T19:00:00.000Z,868714,World Cup Grp. C,3,7795,6710,Saudi Arabia,Mexico,51,13,4-4-2,4-2-3-1,6.6,7.2,1,2,A,39,61,1.11,2.30,0.90,3.10,10,26,2,11,7,7,7,10,3,16,1,4,0,3,16,28,287,426,58,75,22,26,31,42,1,8,15,16,8,7,9,1,27,10,8,1,6,1,0,0,20,18,2,6,51,13,Lusail,Qatar,TRUE
3854596,2022-12-01T15:00:00.000Z,868719,World Cup Grp. F,3,5810,6262,Canada,Morocco,41,22,4-4-2,4-3-3,6.2,6.9,1,2,A,59,41,1.35,0.53,0.00,0.58,5,6,0,2,4,2,4,3,1,3,1,1,1,0,12,8,524,373,86,79,21,13,46,46,6,2,13,23,7,12,2,1,9,20,0,0,4,0,0,0,14,14,4,4,41,22,Doha,Qatar,TRUE
3854595,2022-12-01T15:00:00.000Z,868719,World Cup Grp. F,3,10155,8263,Croatia,Belgium,12,2,4-3-3,3-4-2-1,6.8,7,0,0,D,48,52,0.70,3.07,1.14,1.24,11,16,4,3,6,8,7,13,4,3,0,5,0,5,30,29,554,593,85,88,24,21,61,56,2,4,9,14,6,7,5,1,22,24,3,4,0,1,0,0,7,9,4,0,12,2,Al Rayyan,Qatar,TRUE
3854590,2022-12-01T19:00:00.000Z,868716,World Cup Grp. E,3,6705,8570,Costa Rica,Germany,31,11,5-4-1,4-1-4-1,6.5,7.6,2,4,A,32,68,1.33,5.77,,,8,32,6,11,1,15,6,24,2,8,3,10,2,6,13,71,337,713,75,89,27,28,44,79,1,14,21,10,8,5,6,1,42,9,7,4,1,0,0,0,3,9,4,3,31,11,Al Khor,Qatar,TRUE
3854589,2022-12-01T19:00:00.000Z,868716,World Cup Grp. E,3,6715,6720,Japan,Spain,24,7,5-4-1,4-3-3,6.9,6.7,2,1,H,18,82,1.45,1.04,1.27,1.16,6,12,3,5,2,2,4,6,2,6,1,2,0,1,14,23,228,1058,67,92,100,18,34,75,0,2,11,11,17,3,5,1,23,5,4,1,3,0,0,0,9,6,2,2,24,7,Al Rayyan,Qatar,TRUE
3854608,2022-12-02T15:00:00.000Z,868717,World Cup Grp. H,3,6714,5796,Ghana,Uruguay,61,14,4-2-3-1,4-4-2,6.5,7.2,0,2,A,50,50,1.61,1.81,1.53,1.88,10,12,4,7,3,5,5,7,5,5,1,3,1,2,19,25,432,433,80,77,9,36,44,48,5,2,23,23,7,10,1,3,17,19,4,4,2,5,0,0,18,11,2,2,61,14,Al Wakrah,Qatar,TRUE
3854607,2022-12-02T15:00:00.000Z,868717,World Cup Grp. H,3,7804,8361,South Korea,Portugal,28,9,4-2-3-1,4-2-3-1,7.3,6.5,2,1,H,38,62,1.71,1.29,1.99,1.60,13,13,6,6,2,3,7,7,6,6,2,2,0,1,15,23,357,574,79,88,23,28,43,62,5,4,11,12,8,6,4,5,19,11,5,4,2,0,0,0,9,10,1,5,28,9,Al Rayyan,Qatar,TRUE
3854601,2022-12-02T19:00:00.000Z,868718,World Cup Grp. G,3,6629,8256,Cameroon,Brazil,43,1,4-3-3,4-2-3-1,7.2,6.6,1,0,H,35,65,0.47,2.48,1.18,1.39,7,21,3,7,3,11,5,16,2,5,2,4,1,4,16,44,299,541,77,88,36,30,56,76,3,11,22,19,10,3,3,1,32,12,7,2,3,2,1,0,14,14,0,1,43,1,Lusail,Qatar,TRUE
3854602,2022-12-02T19:00:00.000Z,868718,World Cup Grp. G,3,8205,6717,Serbia,Switzerland,21,15,3-4-1-2,4-2-3-1,6.6,7,2,3,A,54,46,1.32,2.80,1.50,2.62,12,14,4,7,6,4,11,10,1,4,1,6,1,4,26,24,466,415,78,77,36,25,40,48,2,0,13,10,6,12,3,2,9,17,4,2,7,4,0,0,18,14,0,0,21,15,Doha,Qatar,TRUE
3370550,2022-12-03T15:00:00.000Z,868720,World Cup Final Stage,1/8,6708,6713,Netherlands,United States,8,16,3-4-1-2,4-3-3,7.4,6.5,3,1,H,42,58,1.67,1.49,1.72,1.53,11,17,6,8,4,5,7,11,4,6,3,3,2,3,18,33,414,569,76,83,25,11,42,57,4,5,22,14,12,11,6,1,27,11,5,4,2,0,0,0,10,5,0,3,8,16,Al Rayyan,Qatar,TRUE
3370551,2022-12-03T19:00:00.000Z,868720,World Cup Final Stage,1/8,6706,6716,Argentina,Australia,3,38,4-3-3,4-4-1-1,7.1,6.1,2,1,H,61,39,2.98,0.64,1.86,0.32,14,5,5,1,7,2,11,3,3,2,4,1,3,1,24,15,695,435,88,83,20,13,38,57,1,3,15,11,7,8,2,2,18,10,1,3,0,2,0,0,8,15,3,0,3,38,Al Rayyan,Qatar,TRUE
3370552,2022-12-04T15:00:00.000Z,868720,World Cup Final Stage,1/8,6723,8568,France,Poland,4,26,4-2-3-1,4-1-4-1,7.4,6.4,3,1,H,55,45,1.37,1.75,2.12,1.13,16,12,8,3,5,4,10,9,6,3,1,2,0,1,25,25,551,456,86,83,16,44,48,28,7,1,11,17,9,6,6,3,8,20,1,5,1,2,0,0,10,8,3,1,4,26,Doha,Qatar,TRUE
3370553,2022-12-04T19:00:00.000Z,868720,World Cup Final Stage,1/8,8491,6395,England,Senegal,5,18,4-3-3,4-2-3-1,7.4,5.9,3,0,H,61,39,1.02,0.80,1.23,0.12,8,10,4,1,4,5,7,4,1,6,3,1,0,1,18,13,589,368,86,80,33,23,60,47,3,3,21,11,9,6,4,0,9,17,1,1,0,1,0,0,16,12,0,0,5,18,Al Khor,Qatar,TRUE
3370555,2022-12-05T15:00:00.000Z,868720,World Cup Final Stage,1/8,6715,10155,Japan,Croatia,24,12,5-4-1,4-3-3,6.9,6.9,1,1,D,42,58,1.21,1.45,0.92,0.98,13,17,4,4,5,6,5,9,8,8,3,2,2,2,16,31,524,725,75,84,21,31,34,48,8,5,13,14,7,5,7,4,31,31,3,3,0,2,0,0,13,16,3,0,24,12,Al Wakrah,Qatar,TRUE
